Nghia,TiengNhat,PhanLoai
Cái gì,何 (Nani),Đại từ
Mấy giờ,何時 (Nanji),Thời gian
Ăn,食べる (Taberu),Động từ
Bánh mì,パン (Pan),Đồ ăn
